public
June Dally-Watkins 
古乐声 
 時周文化 
 湖南教育 
森山大道 
 Wisdom Publications 
 Mechanical Industry Press Pub. Date: 
张立辉 
 Gallery 
 中国大百科全书出版社 
 Brooks Cole 
 敦煌文艺出版社 
张昌华 
王占君 
 明報周刊 
 Gingko Press 
罗振宇 
 David Nolan 
 TBS The Book Service Ltd 
 陳鐵健 
 国际文化出版公司 
 张航 
 如果出版事業股份有限公司 
 北京大学出版社有限公司 
 国际文化交流音像出版社 
 上海书画2 
经济日报出版社 
1995-3 
奥古斯丁 
董方奎 
 奧修 
Lucia (香港) 
中外名人故事丛书编委会 
理查德·D.威科夫 
 Limelight Editions 
2000-10 
 北京图书馆 
张晓华 
  普罗艺术 
 北京 : 中国靑年出版社 
 文國書局 
Alan Bartlett 
 W W Norton & Co Inc 
 高等教育出版社 
 中信出版社 机械工业出版社 
 台灣明名文化 
 オライリー・ジャパン 
熊月之 
 云南人民出版社 
刘艳 
"Dawson, Julian "
 陕西人民教育出版社 
 Virgin Publishing 
 HARPER PERENNIAL 
 民族 
 John Blake Publishing Ltd 
 啟思 
"Hewlett, Gail"
葛喜平 
悠悠 编 
 Del Rey 
 Center for the Study of Language and Inf 
 陆军 
桑原晃弥 
刘小川 
 Grand Central Publishing 
小巫 
 Bantam Dell Pub Group 
徐迅 
 Other Press 
Luca Caioli 
沈寂 
 华文 
 朱建平 
中共北京市委教育工作委员会 
李宁 
王莉 
 Doubleday & Co Inc. 
" 
       "
 内蒙文化 
杨欣 
 Dell 
 北京师范大学 
包天笑 
 山西高校联合出版社 
"Franz, Laura "
丁子 
"McKagan, Duff "
 长春 
 间濑元朗 
 上海世纪出版集团（上海教育出版社） 
 ECO Sport 
"Hemingway, Ernest "
李兆荣 
博奇 
魏玲 
冯雪松 
 金城 
 北京大学出版社 
 海南出版社，三环出版社 
 臺灣光復書局 
 席玉蘋 
 邊城 
其他
" 海南出版社,三环出版社 "
陈禹安 
周国平 
 贾军朴 
 江棱 
北京十月文艺出版社 北京出版集团公司 
桃花潭水 
 MacMillan 
"West, Matt "
保罗·凯利 
 浙江文艺出版社 
袁贺 编译 
 Yale University Press 
成思行 
丁东 
叶斌 
 电子工业 
 Charles River Media 
 王善涛 
 李海波 
陈思宏 
 SCHIANCHI A. 
